name,data,quote_text,status,url
Homem preso por incêndio no Amazonas não foi pago por ONGs ou movimentos sociais,"28 de agosto de 2019, 15h01",Integrante do MTST é preso incendiando florestas no Amazonas,FALSO,https://www.aosfatos.org/noticias/homem-preso-por-incendio-no-amazonas-nao-foi-pago-por-ongs-ou-movimentos-sociais/
Deputada do PSOL não disse que policiais são pagos para morrer,"29 de agosto de 2019, 16h18","Deputada federal do PSOL TALíRIA PETRONE eleita pelos cariocas e fluminenses, afirmou em sessão na Câmara dos deputados que ""OS POLICIAIS NÃO FAZEM MAIS QUE OBRIGAÇÃO MORRER EM COMBATE CONTRA O CRIME ORGANIZADO, POIS ELES SÃO PAGOS PARA ISSO, MORRER"". Este é o nível das pessoas que os cariocas tem dado poder nas últimas décadas. É esse povo que quer vir como candidato a prefeito nas eleições, nojo.",FALSO,https://www.aosfatos.org/noticias/deputada-do-psol-nao-disse-que-policiais-sao-pagos-para-morrer/
Políticos brasileiros não assinaram pedido de internacionalização da Amazônia,"29 de agosto de 2019, 12h43","Lista de assinaturas no documento encaminhado ao G7 por Macron para medidas de internacionalização, (invasão), da Amazônia e contra o acordo Mercosul / UE, pasmem, vejam quem assinou o pedido para que o G7 ‘tomasse a Amazônia do Brésil’.",FALSO,https://www.aosfatos.org/noticias/politicos-brasileiros-nao-assinaram-pedido-de-internacionalizacao-da-amazonia/
É falso que validade da carteira de motorista passou de cinco para dez anos,"9 de agosto de 2019, 17h17","Acabou! A CNH passou a validade de 5 para 10 anos, a pontuação de 20 passou pra 40 e tirou a exclusividade dos exames serem feitos pelo Detran em clínicas e poderá ser feito por qualquer médico e inclusive pelo SUS GRATUITO sem custo algum! Parabéns, Presidente!",FALSO,https://www.aosfatos.org/noticias/e-falso-que-validade-da-carteira-de-motorista-passou-de-cinco-para-dez-anos/
Fazendas sequestradas pela Polícia Federal no Paraguai não são de líder do MST,"12 de agosto de 2019, 13h14",POLÍCIA FEDERAL E FORÇA TAREFA CONFISCAM TRÊS FAZENDAS NO PARAGUAI DO LÍDER DO MST E BRAÇO DIREITO DE LULA.,FALSO,https://www.aosfatos.org/noticias/fazendas-sequestradas-pela-policia-federal-no-paraguai-nao-sao-de-lider-do-mst/
Suspeito de roubar ouro no aeroporto de Guarulhos não é líder da CUT,"13 de agosto de 2019, 14h26","E esta agora, hein!!! O funcionário do aeroporto que ajudou a roubarem o ouro em S.Paulo é lider da CUT. Alguma novidade???",FALSO,https://www.aosfatos.org/noticias/suspeito-de-roubar-ouro-no-aeroporto-de-guarulhos-nao-e-lider-da-cut/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Porque ela [a Anvisa] está contrariando a lei. Não tem nenhuma lei que diz para fazer essa regulação. E o plantio de drogas, como a maconha, é proibido por lei.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Não existe nenhum propósito em plantar maconha para descobrir propriedades medicinais. Toda a propriedade medicinal, que ainda está em estudo, está restrita ao canabidiol.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Na Suécia, as drogas eram liberadas até 1969. (...) Foram implantadas penas duríssimas, inclusive com prisão de três anos para usuários — o que eu sou contra. Na época, a Suécia encheu suas prisões. Agora, fechou seis presídios, porque a epidemia acabou.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Em 198 países do mundo, é proibido plantar maconha.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Até 2006, o álcool sempre foi o pivô das solicitações de auxílio-doença do INSS por dependência química. Em 2013, já era quatro vezes maior o número de pedidos de auxílio por causa do consumo de drogas em comparação ao total dos que decorrem do uso de álcool.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
Osmar Terra cita informações falsas ao discutir legalização da maconha,"15 de agosto de 2019, 10h41","Todos os produtos podem ser feitos sinteticamente. Senão tem que plantar folha de coca no Brasil para ter lidocaína, vai ter que plantar papoula para ter morfina, e não tem sentido isso aí.",FALSO,https://www.aosfatos.org/noticias/osmar-terra-cita-informacoes-falsas-ao-discutir-legalizacao-da-maconha/
